Time[s]	Pressure[Mpa]
0.3200467	4.485999958
0.321421067	4.484230039
0.322795725	4.482452503
0.324170677	4.480667355
0.325545923	4.4788746
0.326921465	4.47707424
0.328297305	4.475266282
0.329673444	4.47345073
0.331049883	4.471627588
0.332426624	4.469796861
0.333803668	4.467958554
0.335181017	4.46611267
0.336558671	4.464259216
0.337936634	4.462398196
0.339314906	4.460529613
0.340693488	4.458653474
0.342072382	4.456769782
0.343451589	4.454878543
0.344831111	4.452979762
0.34621095	4.451073443
0.347591106	4.44915959
0.348971582	4.44723821
0.350352378	4.445309307
0.351733496	4.443372885
0.353114938	4.44142895
0.354496705	4.439477506
0.355878798	4.43751856
0.35726122	4.435552114
0.358643971	4.433578176
0.360027053	4.431596749
0.361410468	4.429607838
0.362794216	4.42761145
0.3641783	4.425607588
0.365562721	4.423596259
0.36694748	4.421577467
0.368332579	4.419551217
0.369718019	4.417517515
0.371103802	4.415476365
0.37248993	4.413427773
0.373876404	4.411371745
0.375263224	4.409308286
0.376650394	4.4072374
0.378037914	4.405159093
0.379425786	4.403073371
0.380814011	4.400980239
0.382202591	4.398879702
0.383591528	4.396771766
0.384980822	4.394656436
0.386370476	4.392533718
0.387760491	4.390403617
0.389150868	4.388266138
0.390541609	4.386121288
0.391932716	4.383969071
0.39332419	4.381809493
0.394716032	4.379642561
0.396108244	4.377468279
0.397500828	4.375286652
0.398893785	4.373097688
0.400287117	4.370901391
0.401680825	4.368697767
0.403074911	4.366486822
0.404469377	4.364268562
0.405864223	4.362042992
0.407259451	4.359810118
0.408655064	4.357569946
0.410051062	4.355322482
0.411447447	4.353067731
0.412844221	4.3508057
0.414241385	4.348536395
0.415638941	4.346259821
0.41703689	4.343975984
0.418435234	4.341684891
0.419833974	4.339386546
0.421233113	4.337080957
0.422632651	4.33476813
0.424032591	4.332448069
0.425432933	4.330120783
0.42683368	4.327786275
0.428234832	4.325444554
0.429636392	4.323095624
0.431038361	4.320739492
0.432440742	4.318376165
0.433843534	4.316005647
0.43524674	4.313627947
0.436650362	4.311243069
