Tempo [s],Pressao [MPa]
0,0.02
0.05,0.01
0.1,0.02
0.15,0.049
0.2,0.029
0.25,0.02
0.3,0.098
0.36,0.117
0.41,0.196
0.46,0.186
0.51,0.381
0.56,0.567
0.62,0.733
0.66,0.86
0.72,1.007
0.77,1.095
0.82,1.241
0.87,1.261
0.92,1.329
0.97,1.378
1.03,1.32
1.08,1.271
1.13,1.281
1.18,1.261
1.24,1.241
1.28,1.183
1.33,1.085
1.39,1.134
1.44,1.056
1.49,0.968
1.54,0.89
1.59,0.86
1.72,0.674
1.76,0.645
1.81,0.596
1.93,0.147
1.98,0.215
2.03,0.098
2.15,0.01
